

@lastlog, Cybermind MOO


The Cybermind MOO is going down on Monday; here is the official lastlog
taken Perth time around 1 in the morning. This lists all the players who
have ever logged on.

Cybermind MOO was developed for the November 1996 conference in Perth; it
was used heavily during the conference itself. We sent out lastlogs at
that point, so members of the Fop-L and Cybermind email lists could see
the virtual real-time community at work.

Now this is coming through as an epitaph.

Alan

@lastlog

Players who have connected within the last day:
  Rakosha last connected Mon Apr 21 11:30:35 1997 WST.
  Alan last connected Mon Apr 21 12:58:14 1997 WST.
  k* last connected Mon Apr 21 11:40:21 1997 WST.
  WriTinG last connected Mon Apr 21 07:24:42 1997 WST.
  fanny last connected Mon Apr 21 08:33:42 1997 WST.
  nana last connected Mon Apr 21 12:17:06 1997 WST.
  Jesse last connected Mon Apr 21 09:28:40 1997 WST.
Players who have connected within the last week:
  Martin last connected Fri Apr 18 16:23:10 1997 WST.
  Raxcip last connected Sat Apr 19 15:47:21 1997 WST.
  paula last connected Wed Apr 16 10:14:42 1997 WST.
  Goatium_Guest last connected Thu Apr 17 03:04:28 1997 WST.
  bree last connected Fri Apr 18 17:31:28 1997 WST.
  Tatijuana last connected Thu Apr 17 10:12:38 1997 WST.
  JULES last connected Sat Apr 19 23:07:59 1997 WST.
  Violeta last connected Fri Apr 18 02:28:07 1997 WST.
  Mickey last connected Fri Apr 18 14:23:51 1997 WST.
Players who have connected within the last 30 days:
  razey last connected Sun Mar 30 13:05:05 1997 WST. 01:02_________
  zone last connected Mon Apr 14 12:38:20 1997 WST.
  Imago last connected Mon Apr  7 17:41:46 1997 WST.
  aliya last connected Thu Mar 27 01:43:41 1997 WST.
  Schizandra last connected Mon Apr 14 05:53:40 1997 WST.
  fiesty last connected Wed Apr  2 19:42:38 1997 WST.
  condor last connected Sun Apr 13 20:43:22 1997 WST.
  Argie last connected Wed Apr  2 22:24:14 1997 WST.
  Xareth last connected Sun Mar 23 19:58:34 1997 WST.
  rimbaud_geist last connected Fri Apr 11 07:00:14 1997 WST.
  Lister last connected Wed Apr  9 16:30:41 1997 WST.
  Dina last connected Sun Mar 23 16:14:30 1997 WST.
  DIG last connected Sun Apr 13 19:11:18 1997 WST.
Players who have connected within recorded history:
  Wizard last connected Tue Mar 18 02:07:10 1997 WST.
  housekeeper last connected Tue Nov 16 08:01:49 1993 WST.
  Porting_Player last connected Sat Jun 17 12:25:14 1995 WST.
  Surfer_Guest last connected Mon Oct  7 04:52:24 1996 WST.
  Unauthed_Guest last connected Thu Sep 12 22:50:30 1996 WST.
  Nuit last connected Sat Oct  5 01:15:45 1996 WST.
  Spartan last connected Mon Aug 19 10:04:33 1996 WST.
  username last connected Tue Aug  6 15:05:18 1996 WST.
  simbiont last connected Sun Feb 23 21:47:03 1997 WST.
  PhilM last connected Wed Aug  7 18:39:12 1996 WST.
  Dreamchaser last connected Thu Nov  7 08:17:36 1996 WST.
  fred last connected Wed Aug  7 13:36:10 1996 WST.
