x,y,id,s
0.28,-0.58,"0.README_1.txt",4.0
-9.07,-0.79,"0.README_2.txt",4.0
-9.08,-0.68,"0.README_3.txt",4.0
0.31,-0.61,"1994Internet_1.txt",19.56
-2.73,-16.46,"a_1.txt",4.0
0.32,-0.61,"a_2.txt",4.0
0.35,-0.61,"a_3.txt",4.0
0.29,-0.61,"a_4.txt",4.0
0.34,-0.61,"a_5.txt",4.0
-13.50,0.94,"a_6.txt",4.0
0.30,-0.62,"a_7.txt",4.0
10.87,-12.78,"a_8.txt",4.0
-12.29,5.92,"a_9.txt",4.0
9.56,9.85,"a_10.txt",4.0
-18.47,3.44,"a_11.txt",4.0
0.30,-0.59,"a_12.txt",4.0
0.30,-0.62,"a_13.txt",4.0
0.31,-0.58,"a_14.txt",4.0
0.34,-0.63,"a_15.txt",4.0
0.27,-0.62,"a_16.txt",4.0
-9.06,-0.81,"a_17.txt",4.0
0.29,-0.62,"a_18.txt",4.0
0.29,-0.61,"a_19.txt",4.0
-16.19,0.08,"a_20.txt",4.0
0.31,-0.59,"a_21.txt",4.0
-6.05,10.13,"a_22.txt",4.0
0.34,-0.59,"a_23.txt",4.0
-13.24,-8.26,"a_24.txt",4.0
-8.26,14.02,"a_25.txt",4.0
15.97,4.11,"a_26.txt",4.0
12.84,3.88,"a_27.txt",4.0
0.33,-0.61,"a_28.txt",4.0
0.27,-0.59,"a_29.txt",4.0
8.03,-2.57,"a_30.txt",4.0
0.30,-0.61,"a_31.txt",4.0
-9.05,-0.83,"aaindices_1.txt",10.81
0.28,-0.62,"aaindices_2.txt",4.0
0.32,-0.64,"adessay_1.txt",17.9
8.73,-13.02,"advert_1.txt",4.0
-16.22,1.04,"advert_2.txt",4.0
5.43,15.48,"advert_3.txt",6.69
0.31,-0.62,"ah_1.txt",4.0
0.33,-0.61,"ah_2.txt",4.0
-10.97,1.59,"ah_3.txt",4.0
0.32,-0.60,"ah_4.txt",4.0
-6.26,-5.47,"ah_5.txt",4.0
-9.06,-0.84,"ah_6.txt",4.0
0.27,-0.61,"ah_7.txt",4.0
0.29,-0.60,"ah_8.txt",4.0
0.27,-0.64,"ah_9.txt",4.0
5.40,7.02,"ah_10.txt",4.0
-13.36,1.50,"ah_11.txt",4.0
-6.18,-11.99,"ah_12.txt",4.0
0.33,-0.62,"ah_13.txt",4.0
12.27,2.29,"ah_14.txt",4.0
0.33,-0.62,"ah_15.txt",4.0
0.31,-0.62,"ah_16.txt",4.0
0.31,-0.60,"ah_17.txt",4.0
0.34,-0.61,"ah_18.txt",4.0
0.28,-0.61,"ah_19.txt",4.0
0.31,-0.62,"ah_20.txt",4.0
0.28,-0.63,"ah_21.txt",4.0
0.30,-0.61,"ah_22.txt",4.0
14.38,7.87,"ah_23.txt",4.0
-9.63,-0.29,"ah_24.txt",4.0
8.00,0.75,"ah_25.txt",4.0
-13.49,-9.56,"ah_26.txt",4.0
0.32,-0.63,"ah_27.txt",4.0
-9.07,-0.80,"ah_28.txt",5.41
0.27,-0.63,"ah_29.txt",4.0
0.33,-0.61,"alwaysalready_1.txt",23.14
13.10,14.31,"alwaysalready_2.txt",4.0
-9.06,-0.82,"am_1.txt",4.0
0.34,-0.60,"am_2.txt",4.0
0.31,-0.60,"am_3.txt",4.0
12.91,-9.24,"am_4.txt",4.0
0.31,-0.62,"am_5.txt",4.0
0.33,-0.59,"am_6.txt",4.0
10.21,-8.91,"am_7.txt",4.0
0.30,-0.62,"am_8.txt",4.0
0.29,-0.58,"am_9.txt",4.0
0.34,-0.62,"am_10.txt",4.0
0.33,-0.64,"am_11.txt",4.0
-10.02,6.21,"am_12.txt",4.0
-9.88,6.10,"am_13.txt",4.0
0.29,-0.60,"am_14.txt",4.0
5.17,10.99,"am_15.txt",4.0
0.27,-0.60,"am_16.txt",4.0
0.32,-0.65,"am_17.txt",4.0
0.30,-0.60,"am_18.txt",4.0
0.29,-0.61,"am_19.txt",4.0
0.32,-0.61,"am_20.txt",4.0
0.29,-0.62,"am_21.txt",4.0
0.32,-0.60,"am_22.txt",4.0
0.35,-0.61,"am_23.txt",4.0
0.29,-0.61,"am_24.txt",4.0
6.34,-4.17,"am_25.txt",4.0
-9.13,-0.81,"am_26.txt",4.0
0.30,-0.62,"am_27.txt",4.0
0.30,-0.62,"am_28.txt",4.0
12.14,2.30,"am_29.txt",4.0
-9.06,-0.79,"am_30.txt",4.0
0.29,-0.62,"am_31.txt",4.0
0.30,-0.60,"am_32.txt",4.0
0.33,-0.60,"am_33.txt",4.0
-13.97,13.40,"am_34.txt",4.0
0.33,-0.61,"am_35.txt",4.0
0.32,-0.61,"am_36.txt",4.0
0.31,-0.62,"am_37.txt",4.0
0.32,-0.60,"am_38.txt",4.0
0.32,-0.60,"an_1.txt",4.0
-9.24,-0.59,"an_2.txt",4.0
-15.54,7.66,"an_3.txt",4.0
1.49,15.15,"an_4.txt",4.0
0.29,-0.63,"an_5.txt",4.0
1.38,13.35,"an_6.txt",4.0
0.33,-0.60,"an_7.txt",4.0
-13.24,-2.33,"an_8.txt",4.0
-3.25,-13.31,"an_9.txt",4.0
0.28,-0.63,"an_10.txt",4.0
15.97,-4.42,"an_11.txt",4.0
0.26,-0.62,"an_12.txt",4.0
0.29,-0.63,"an_13.txt",4.0
-9.15,1.94,"an_14.txt",4.0
0.32,-0.60,"an_15.txt",4.0
-15.45,-1.07,"an_16.txt",4.0
-1.40,16.25,"an_17.txt",4.0
0.30,-0.61,"an_18.txt",4.0
8.00,0.77,"an_19.txt",4.0
12.32,2.20,"an_20.txt",4.0
-15.39,-5.71,"an_21.txt",4.0
0.31,-0.63,"an_22.txt",4.0
0.31,-0.61,"an_23.txt",4.0
0.33,-0.61,"an_24.txt",4.0
0.31,-0.65,"an_25.txt",4.0
-10.35,5.67,"an_26.txt",4.0
8.13,0.80,"an_27.txt",4.0
0.31,-0.62,"an_28.txt",4.0
0.30,-0.57,"an_29.txt",4.0
-10.95,8.36,"an_30.txt",4.0
0.30,-0.62,"an_31.txt",4.0
8.00,0.74,"an_32.txt",4.0
0.28,-0.61,"an_33.txt",4.0
0.30,-0.60,"an_34.txt",4.0
0.29,-0.61,"an_35.txt",4.0
8.00,0.76,"an_36.txt",4.0
0.32,-0.61,"ap_1.txt",4.0
1.48,-14.18,"ap_2.txt",4.0
6.80,14.86,"ap_3.txt",4.0
4.92,10.72,"ap_4.txt",4.0
0.32,-0.64,"ap_5.txt",4.0
0.29,-0.59,"ap_6.txt",4.0
-13.42,0.42,"ap_7.txt",4.0
0.34,-0.61,"ap_8.txt",4.0
8.00,0.76,"ap_9.txt",4.0
-9.17,-0.80,"ap_10.txt",4.0
10.86,-8.39,"ap_11.txt",4.0
-8.16,8.39,"ap_12.txt",4.0
8.00,0.76,"ap_13.txt",4.0
0.27,-0.62,"ap_14.txt",4.0
0.33,-0.60,"ap_15.txt",4.0
0.27,-0.61,"ap_16.txt",4.0
0.30,-0.62,"ap_17.txt",4.0
-7.62,-14.70,"ap_18.txt",4.0
0.32,-0.60,"ap_19.txt",4.0
0.29,-0.59,"ap_20.txt",4.0
0.30,-0.65,"ap_21.txt",4.0
-8.25,4.04,"ap_22.txt",4.0
0.29,-0.61,"ap_23.txt",4.0
8.08,-1.07,"ap_24.txt",4.0
-15.90,-4.09,"ap_25.txt",4.0
0.30,-0.64,"ap_26.txt",4.0
0.31,-0.58,"ap_27.txt",4.0
8.13,14.20,"ap_28.txt",4.0
15.23,3.05,"ap_29.txt",4.0
8.00,0.76,"ap_30.txt",4.0
0.32,-0.59,"ap_31.txt",4.0
16.24,-2.99,"ap_32.txt",4.0
0.31,-0.61,"ap_33.txt",4.0
0.33,-0.60,"ap_34.txt",4.0
8.00,0.76,"ap_35.txt",5.38
0.30,-0.64,"ap_36.txt",4.0
-16.18,-0.32,"archelim_1.txt",212.68
0.33,-0.63,"archex_1.txt",704.5
0.31,-0.58,"avatar_1.txt",5.14
-4.24,11.21,"b_1.txt",4.0
0.28,-0.63,"b_2.txt",4.0
0.27,-0.60,"b_3.txt",4.0
0.28,-0.59,"b_4.txt",4.0
0.27,-0.59,"b_5.txt",4.0
-15.26,12.01,"b_6.txt",4.0
-16.26,2.37,"b_7.txt",4.0
0.29,-0.59,"b_8.txt",4.0
11.32,-6.74,"b_9.txt",4.0
0.32,-0.61,"b_10.txt",4.0
-10.71,4.81,"b_11.txt",4.0
6.04,6.04,"b_12.txt",4.0
0.32,-0.60,"b_13.txt",4.0
-7.03,-15.16,"b_14.txt",6.93
0.31,-0.61,"b_15.txt",4.0
0.32,-0.63,"b_16.txt",4.0
4.70,15.70,"b_17.txt",4.0
-9.13,-0.81,"b_18.txt",4.0
8.00,0.77,"b_19.txt",4.0
12.30,-5.79,"b_20.txt",4.0
0.29,-0.62,"b_21.txt",4.0
0.32,-0.61,"b_22.txt",4.0
0.34,-0.59,"b_23.txt",4.0
-6.76,-6.05,"b_24.txt",4.0
0.33,-0.59,"b_25.txt",4.0
0.30,-0.63,"b_26.txt",4.0
-11.28,6.91,"b_27.txt",4.0
0.28,-0.60,"ba_1.txt",4.0
0.31,-0.61,"ba_2.txt",4.0
0.31,-0.61,"ba_3.txt",4.0
-8.63,-9.28,"ba_4.txt",4.0
0.30,-0.58,"ba_5.txt",4.0
0.33,-0.58,"ba_6.txt",4.0
0.30,-0.61,"ba_7.txt",4.0
0.27,-0.62,"ba_8.txt",4.0
0.35,-0.62,"ba_9.txt",4.0
0.27,-0.61,"ba_10.txt",4.0
-9.57,-11.67,"ba_11.txt",4.0
0.29,-0.60,"ba_12.txt",4.0
0.33,-0.63,"ba_13.txt",4.0
0.30,-0.61,"ba_14.txt",4.0
0.32,-0.61,"ba_15.txt",4.0
0.32,-0.60,"ba_16.txt",4.0
0.30,-0.61,"ba_17.txt",4.0
0.31,-0.61,"ba_18.txt",4.0
0.28,-0.60,"ba_19.txt",4.0
0.30,-0.59,"ba_20.txt",4.0
0.30,-0.57,"ba_21.txt",4.0
0.31,-0.60,"ba_22.txt",4.0
-4.39,-16.10,"ba_23.txt",4.0
-9.73,-13.44,"ba_24.txt",4.0
11.91,-11.74,"ba_25.txt",4.0
8.00,0.76,"ba_26.txt",4.0
0.28,-0.60,"ba_27.txt",4.0
12.44,1.48,"ba_28.txt",4.0
0.34,-0.59,"ba_29.txt",4.0
0.34,-0.61,"ba_30.txt",4.0
-13.00,4.01,"ba_31.txt",4.0
-9.06,-0.82,"ba_32.txt",4.0
8.00,0.76,"ba_33.txt",4.0
8.00,0.76,"ba_34.txt",4.0
-13.97,-9.04,"ba_35.txt",4.0
0.29,-0.61,"ba_36.txt",4.0
0.32,-0.62,"ba_37.txt",4.0
-9.39,2.76,"ba_38.txt",4.0
0.32,-0.60,"ba_39.txt",4.0
0.28,-0.58,"ba_40.txt",4.0
0.29,-0.57,"baghdad_1.txt",4.0
19.43,-2.68,"bb_1.txt",4.0
-9.09,-10.33,"bb_2.txt",4.0
0.31,-0.61,"bb_3.txt",4.0
-9.44,-0.76,"bb_4.txt",4.0
-9.06,-0.82,"bb_5.txt",4.0
13.42,8.05,"bb_6.txt",4.0
0.31,-0.62,"bb_7.txt",4.0
0.24,-15.85,"bb_8.txt",4.0
0.30,-0.61,"bb_9.txt",4.0
10.26,7.25,"bb_10.txt",4.0
0.27,-0.60,"bb_11.txt",4.0
0.27,-0.61,"bb_12.txt",4.0
8.00,0.76,"bb_13.txt",4.0
-9.28,2.00,"bb_14.txt",4.0
0.32,-0.59,"bb_15.txt",4.0
0.29,-0.61,"bb_16.txt",4.0
-10.28,-8.43,"bb_17.txt",4.0
0.34,-0.59,"bb_18.txt",4.0
-14.65,7.17,"bb_19.txt",4.0
0.29,-0.61,"bb_20.txt",4.0
-4.01,15.81,"bb_21.txt",4.0
0.30,-0.61,"bb_22.txt",4.0
0.32,-0.63,"bb_23.txt",4.0
0.34,-0.61,"bb_24.txt",4.0
2.50,13.02,"bb_25.txt",4.0
0.30,-0.61,"bb_26.txt",4.0
0.34,-0.62,"bb_27.txt",4.0
-10.99,1.74,"bb_28.txt",4.0
0.31,-0.62,"bb_29.txt",4.0
0.30,-0.61,"bb_30.txt",4.0
0.29,-0.61,"bb_31.txt",4.0
-14.59,7.17,"bb_32.txt",4.0
0.28,-0.60,"bb_33.txt",4.0
0.29,-0.64,"bb_34.txt",4.0
-6.84,-2.59,"bb_35.txt",4.0
0.24,-0.62,"bb_36.txt",4.0
-9.15,-0.81,"bb_37.txt",4.0
0.31,-0.60,"bb_38.txt",4.0
-9.06,-0.79,"bb_39.txt",4.0
-9.15,-0.81,"bb_40.txt",4.0
-8.95,-1.13,"bb_41.txt",4.0
4.44,-12.16,"bb_42.txt",4.0
0.34,-0.63,"bb_43.txt",4.0
0.32,-0.64,"bb_44.txt",4.0
0.29,-0.60,"bb_45.txt",4.0
-5.77,10.51,"bb_46.txt",4.0
0.31,-0.59,"bb_47.txt",4.0
0.28,-0.63,"bb_48.txt",4.0
9.69,13.27,"bb_49.txt",4.0
0.34,-0.61,"bb_50.txt",4.0
-8.88,5.01,"beginnings_1.txt",4.0
0.32,-0.61,"beginnings_2.txt",14.01
0.28,-0.60,"biobreak_1.txt",30.51
0.29,-0.61,"blank_1.txt",4.28
0.27,-0.61,"Blood_1.txt",4.0
0.33,-0.60,"Blood_2.txt",4.0
-11.56,-4.61,"Blood_3.txt",4.0
-12.33,10.65,"Blood_4.txt",4.0
18.02,-7.93,"Blood_5.txt",4.0
-8.69,13.80,"Blood_6.txt",4.0
-15.08,-6.43,"Blood_7.txt",4.0
-15.30,5.90,"Blood_8.txt",4.0
0.31,-0.60,"Blood_9.txt",4.0
0.31,-0.57,"Blood_10.txt",4.0
-5.97,-4.71,"Blood_11.txt",4.0
-3.15,12.18,"Blood_12.txt",4.0
-9.05,-0.83,"Blood_13.txt",4.0
0.02,8.98,"Blood_14.txt",4.0
0.28,-0.58,"Blood_15.txt",4.0
0.34,-0.60,"Blood_16.txt",4.0
-16.26,-5.28,"Blood_17.txt",4.0
-3.61,-12.50,"Blood_18.txt",4.0
0.27,-0.60,"Blood_19.txt",4.0
10.50,-10.58,"Blood_20.txt",4.0
-9.05,-0.82,"Blood_21.txt",4.0
0.28,-0.61,"Blood_22.txt",4.0
0.32,-0.65,"Blood_23.txt",4.0
0.31,-0.58,"Blood_24.txt",4.0
0.34,-0.60,"Blood_25.txt",4.0
0.32,-0.57,"Blood_26.txt",4.0
-9.06,-0.80,"Blood_27.txt",4.0
7.60,2.83,"Blood_28.txt",4.0
0.32,-0.61,"Blood_29.txt",4.0
-9.05,-0.82,"Blood_30.txt",4.0
0.32,-0.63,"Blood_31.txt",4.0
-9.05,-0.82,"Blood_32.txt",4.0
6.21,15.23,"bone_1.txt",4.0
0.30,-0.61,"bone_2.txt",14.61
0.30,-0.61,"bone_3.txt",4.0
0.32,-0.61,"bone_4.txt",6.3
0.34,-0.60,"brick_1.txt",9.45
0.31,-0.58,"brokenworld_1.txt",4.06
2.55,-6.59,"bu_1.txt",4.0
0.29,-0.57,"bu_2.txt",4.0
0.30,-0.62,"c_1.txt",4.0
0.32,-0.60,"c_2.txt",4.0
4.97,-16.08,"c_3.txt",4.0
0.29,-0.61,"c_4.txt",4.0
0.28,-0.61,"c_5.txt",4.0
0.33,-0.62,"c_6.txt",4.0
14.71,-5.52,"c_7.txt",4.0
-9.39,0.18,"c_8.txt",4.0
0.31,-0.59,"c_9.txt",4.0
14.61,-8.00,"c_10.txt",4.0
8.02,0.78,"c_11.txt",4.0
0.31,-0.59,"c_12.txt",4.0
5.97,6.10,"c_13.txt",4.0
-10.90,2.05,"c_14.txt",4.0
-12.74,14.63,"c_15.txt",4.0
-9.06,-0.82,"c_16.txt",4.0
15.88,-4.76,"c_17.txt",4.0
-10.50,12.47,"c_18.txt",4.0
0.33,-0.61,"c_19.txt",4.0
0.30,-0.60,"c_20.txt",4.0
0.32,-0.59,"c_21.txt",4.0
0.29,-0.62,"c_22.txt",4.0
-3.93,11.31,"c_23.txt",4.0
-9.13,-0.81,"c_24.txt",4.0
10.37,-13.26,"c_25.txt",4.0
8.00,0.76,"c_26.txt",4.0
0.30,-0.62,"c_27.txt",4.0
8.00,0.75,"c_28.txt",4.0
8.00,0.76,"c_29.txt",4.0
-0.20,8.79,"c_30.txt",4.0
12.09,3.31,"c_31.txt",4.0
0.34,-0.61,"cancer_1.txt",4.0
0.30,-0.60,"cancer_2.txt",4.0
1.10,12.55,"cancer_3.txt",4.0
0.31,-0.61,"cancer_4.txt",4.0
0.27,-0.61,"cancer_5.txt",4.0
2.09,14.44,"cancer_6.txt",4.0
0.30,-0.61,"cancer_7.txt",4.0
0.31,-0.59,"cancer_8.txt",4.0
0.30,-0.61,"cancer_9.txt",4.0
-6.34,-2.82,"cancer_10.txt",4.0
0.31,-0.61,"cancer_11.txt",4.0
