x,y,id,s
0.22,-0.31,"0.README_1.txt",4.0
-0.19,-0.28,"0.README_2.txt",4.0
0.01,-0.24,"0.README_3.txt",4.0
0.90,-0.31,"1994Internet_1.txt",19.56
-0.39,-0.15,"a_1.txt",4.0
0.40,-0.21,"a_2.txt",4.0
0.44,-0.32,"a_3.txt",4.0
-0.01,-0.10,"a_4.txt",4.0
0.54,-0.37,"a_5.txt",4.0
0.53,-0.10,"a_6.txt",4.0
0.49,0.36,"a_7.txt",4.0
0.56,0.03,"a_8.txt",4.0
-0.56,-0.15,"a_9.txt",4.0
-0.59,-0.16,"a_10.txt",4.0
0.68,-0.20,"a_11.txt",4.0
0.35,0.45,"a_12.txt",4.0
0.53,-0.06,"a_13.txt",4.0
0.54,-0.31,"a_14.txt",4.0
0.57,-0.30,"a_15.txt",4.0
-0.41,-0.21,"a_16.txt",4.0
0.55,-0.13,"a_17.txt",4.0
0.26,-0.28,"a_18.txt",4.0
0.67,-0.12,"a_19.txt",4.0
-0.52,-0.14,"a_20.txt",4.0
0.26,-0.06,"a_21.txt",4.0
-0.54,-0.17,"a_22.txt",4.0
0.65,-0.10,"a_23.txt",4.0
0.42,-0.28,"a_24.txt",4.0
0.56,0.07,"a_25.txt",4.0
0.63,-0.15,"a_26.txt",4.0
0.19,0.71,"a_27.txt",4.0
0.06,-0.16,"a_28.txt",4.0
0.68,-0.22,"a_29.txt",4.0
0.66,0.08,"a_30.txt",4.0
0.54,0.38,"a_31.txt",4.0
-0.04,0.15,"aaindices_1.txt",10.81
-0.54,-0.12,"aaindices_2.txt",4.0
0.83,-0.31,"adessay_1.txt",17.9
-0.56,-0.14,"advert_1.txt",4.0
-0.15,-0.15,"advert_2.txt",4.0
0.55,-0.11,"advert_3.txt",6.69
-0.23,-0.17,"ah_1.txt",4.0
0.15,-0.18,"ah_2.txt",4.0
0.68,-0.34,"ah_3.txt",4.0
0.64,-0.10,"ah_4.txt",4.0
0.12,0.35,"ah_5.txt",4.0
0.47,0.20,"ah_6.txt",4.0
-0.58,-0.09,"ah_7.txt",4.0
0.67,-0.38,"ah_8.txt",4.0
-0.42,-0.05,"ah_9.txt",4.0
-0.40,0.14,"ah_10.txt",4.0
0.05,0.01,"ah_11.txt",4.0
-0.50,-0.01,"ah_12.txt",4.0
0.79,-0.04,"ah_13.txt",4.0
0.29,0.12,"ah_14.txt",4.0
0.65,-0.30,"ah_15.txt",4.0
0.05,-0.01,"ah_16.txt",4.0
0.81,-0.30,"ah_17.txt",4.0
-0.52,-0.14,"ah_18.txt",4.0
-0.19,0.96,"ah_19.txt",4.0
0.03,0.01,"ah_20.txt",4.0
